Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Nom objet ;IfcRoot.Name;IfcName;Oui
