Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil de données,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Appareil de données,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Appareil de données,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Appareil de données,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Appareil de données,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Appareil de données,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6010 - Data Communications
Appareil électrique,Classe et type IFC,,Toutes,,,,,Congélateur,IfcElectricApplianceType.FREEZER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Combiné réfrigérateur=congélateur,IfcElectricApplianceType.FRIDGE_FREEZER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Frigo,IfcElectricApplianceType.REFRIGERATOR,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Réfrigérateur,IfcElectricApplianceType.REFRIGERATOR,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Lave-vaisselle,IfcElectricApplianceType.DISHWASHER,Electrical Equipment,,
